text,category,type,input_style,ambiguity
UPI-UPSTOX-782577@upi,Misc,Investment,upi,context_dependent
gym,Health,Want,short_keyword,ambiguous
UPI-RELIANCEFRES-866213@upi,Groceries,Need,upi,context_dependent
FAASOS TXN POS PURCHASE,Food,Want,bank_statement,context_dependent
POS RETAIL PURCHASE,Shopping,Want,bank_statement,ambiguous
paid for Great Learning as a casual weekend hobby on a whim,Education,Want,natural_language,context_dependent
POS INOX ONLINE,Entertainment,Want,bank_statement,context_dependent
paid for an online multiplayer game subscription,Entertainment,Want,natural_language,clear
enrolled in a coding bootcamp to switch careers,Education,Investment,semantic,clear
UPI-HALDIRAMS-858434@upi,Food,Need,upi,context_dependent
BYJU'S for a professional certification,Education,Investment,merchant,context_dependent
booked Meru Cabs to rush to the hospital,Travel,Need,natural_language,context_dependent
UPI/ETMONEY/PAYMENT/REF6633,Misc,Investment,upi,context_dependent
POS AMAZON RETAIL PURCHASE,Shopping,Want,bank_statement,ambiguous
had no choice but to pay for Snapdeal since it was required urgently for daily use,Shopping,Need,semantic,context_dependent
Faasos when there was nothing left in the fridge,Food,Need,merchant,context_dependent
Paytm Money for a recurring deposit,Misc,Investment,merchant,context_dependent
"paid for Unacademy purely out of necessity, required for the current semester",Education,Need,semantic,context_dependent
BigBasket for hosting a dinner party,Groceries,Want,merchant,context_dependent
APOLLO PHARMACY TXN POS PURCHASE,Health,Want,bank_statement,context_dependent
recurring deposit for savings,Misc,Investment,natural_language,clear
CARD PAYMENT KUVERA,Misc,Investment,bank_statement,context_dependent
UPI/SNAPDEAL/PAYMENT/REF6766,Shopping,Want,upi,context_dependent
booked a bus ticket to attend a mandatory office training,Travel,Need,semantic,context_dependent
"could have skipped Vijay Sales, but chose to spend on it, as a small treat for myself",Shopping,Want,semantic,context_dependent
POS BARBEQUE NATION PUNE,Food,Want,bank_statement,clear
Nature's Basket for a festive celebration at home,Groceries,Want,merchant,context_dependent
UPI/AMAZON/PAYMENT/REF5520,Shopping,Need,upi,ambiguous
set aside savings via Unacademy to boost my career prospects,Education,Investment,natural_language,context_dependent
booked a cab late at night purely for convenience,Travel,Want,semantic,context_dependent
POS BOOKMYSHOW TICKETS,Entertainment,Want,bank_statement,clear
POS KFC PAYMENT,Food,Want,bank_statement,context_dependent
POS COIN BY ZERODHA ONLINE,Misc,Investment,bank_statement,context_dependent
treated myself to sushi after a stressful week,Food,Want,natural_language,clear
Fortis Hospital out of general curiosity,Health,Want,merchant,context_dependent
UPI/UDEMY/PAYMENT/REF3139,Education,Investment,upi,context_dependent
Chai tapri near office,Food,Need,merchant,clear
POS MAX HEALTHCARE ONLINE,Health,Want,bank_statement,context_dependent
KFC TXN POS PURCHASE,Food,Need,bank_statement,context_dependent
paid hospital bill for an emergency surgery,Health,Need,semantic,clear
"spent on BEST bus more for enjoyment than necessity, to visit relatives during the holidays",Travel,Want,semantic,context_dependent
"could have skipped Box8, but chose to spend on it, for a weekend treat",Food,Want,semantic,context_dependent
invested through Coursera to boost my career prospects,Education,Investment,natural_language,context_dependent
"spent on JioCinema more for enjoyment than necessity, for a birthday movie marathon",Entertainment,Want,semantic,context_dependent
UPI-SHOPPINGORDER-REF1920,Shopping,Want,upi,ambiguous
used Housing Society for monthly maintenance charges,Bills,Need,natural_language,clear
invested through Zerodha for a stock market trade,Misc,Investment,natural_language,context_dependent
POS MUMBAI METRO PAYMENT,Travel,Need,bank_statement,context_dependent
CARD PAYMENT TATA CLIQ,Shopping,Need,bank_statement,ambiguous
treated myself to MedPlus to try a trending supplement,Health,Want,natural_language,context_dependent
POS ZEPTO ONLINE,Groceries,Want,bank_statement,context_dependent
"the expense on FASTag was unavoidable, to rush to the hospital",Travel,Need,semantic,context_dependent
UPI/MAXHEALTHCAR/PAYMENT/REF3390,Health,Want,upi,ambiguous
Starbucks coffee with a client,Food,Want,merchant,context_dependent
