text,category,type,input_style,ambiguity
UPI-UPSTOX-782577@upi,Misc,Investment,upi,clear
gym,Health,Want,short_keyword,ambiguous
UPI-RELIANCEFRES-866213@upi,Groceries,Need,upi,clear
FAASOS TXN POS PURCHASE,Food,Want,bank_statement,clear
POS RETAIL PURCHASE,Shopping,Want,bank_statement,ambiguous
paid for Great Learning as a casual weekend hobby on a whim,Education,Want,natural_language,context_dependent
POS INOX ONLINE,Entertainment,Want,bank_statement,clear
paid for an online multiplayer game subscription,Entertainment,Want,natural_language,clear
enrolled in a coding bootcamp to switch careers,Education,Investment,semantic,context_dependent
UPI-HALDIRAMS-858434@upi,Food,Need,upi,clear
BYJU'S for a professional certification,Education,Investment,merchant,clear
booked Meru Cabs to rush to the hospital,Travel,Need,natural_language,context_dependent
UPI/ETMONEY/PAYMENT/REF6633,Misc,Investment,upi,clear
POS AMAZON RETAIL PURCHASE,Shopping,Want,bank_statement,clear
had no choice but to pay for Snapdeal since it was required urgently for daily use,Shopping,Need,semantic,context_dependent
Faasos when there was nothing left in the fridge,Food,Need,merchant,context_dependent
Paytm Money for a recurring deposit,Misc,Investment,merchant,clear
"paid for Unacademy purely out of necessity, required for the current semester",Education,Need,semantic,context_dependent
BigBasket for hosting a dinner party,Groceries,Want,merchant,context_dependent
APOLLO PHARMACY TXN POS PURCHASE,Health,Need,bank_statement,clear
recurring deposit for savings,Misc,Investment,natural_language,clear
CARD PAYMENT KUVERA,Misc,Investment,bank_statement,clear
UPI/SNAPDEAL/PAYMENT/REF6766,Shopping,Want,upi,clear
booked a bus ticket to attend a mandatory office training,Travel,Need,semantic,context_dependent
"could have skipped Vijay Sales, but chose to spend on it, as a small treat for myself",Shopping,Want,semantic,clear
POS BARBEQUE NATION PUNE,Food,Want,bank_statement,clear
Nature's Basket for a festive celebration at home,Groceries,Want,merchant,clear
UPI/AMAZON/PAYMENT/REF5520,Shopping,Want,upi,clear
booked a cab late at night purely for convenience,Travel,Want,semantic,context_dependent
POS BOOKMYSHOW TICKETS,Entertainment,Want,bank_statement,clear
POS KFC PAYMENT,Food,Want,bank_statement,clear
POS COIN BY ZERODHA ONLINE,Misc,Investment,bank_statement,clear
treated myself to sushi after a stressful week,Food,Want,natural_language,context_dependent
UPI/UDEMY/PAYMENT/REF3139,Education,Investment,upi,clear
Chai tapri near office,Food,Need,merchant,clear
POS MAX HEALTHCARE ONLINE,Health,Need,bank_statement,clear
KFC TXN POS PURCHASE,Food,Need,bank_statement,clear
paid hospital bill for an emergency surgery,Health,Need,semantic,context_dependent
"spent on BEST bus more for enjoyment than necessity, to visit relatives during the holidays",Travel,Want,semantic,context_dependent
"could have skipped Box8, but chose to spend on it, for a weekend treat",Food,Want,semantic,context_dependent
invested through Coursera to boost my career prospects,Education,Investment,natural_language,context_dependent
"spent on JioCinema more for enjoyment than necessity, for a birthday movie marathon",Entertainment,Want,semantic,context_dependent
UPI-SHOPPINGORDER-REF1920,Shopping,Want,upi,clear
used Housing Society for monthly maintenance charges,Bills,Need,natural_language,clear
invested through Zerodha for a stock market trade,Misc,Investment,natural_language,clear
POS MUMBAI METRO PAYMENT,Travel,Need,bank_statement,clear
CARD PAYMENT TATA CLIQ,Shopping,Want,bank_statement,clear
treated myself to MedPlus to try a trending supplement,Health,Need,natural_language,clear
POS ZEPTO ONLINE,Groceries,Need,bank_statement,clear
"the expense on FASTag was unavoidable, to rush to the hospital",Travel,Need,semantic,context_dependent
UPI/MAXHEALTHCAR/PAYMENT/REF3390,Health,Need,upi,clear
Starbucks coffee with a client,Food,Want,merchant,clear
"spent on LinkedIn Learning more for enjoyment than necessity, as a casual weekend hobby",Education,Want,semantic,context_dependent
"could have skipped Amazon Prime Video, but chose to spend on it, to unwind after a long week",Entertainment,Want,semantic,context_dependent
"paid for Delhi Metro purely out of necessity, to rush to the hospital",Travel,Need,semantic,context_dependent
UPI-BYJUS-BYJUS@ICICI,Education,Investment,upi,clear
UPI-CULT.FIT-963305@upi,Health,Need,upi,clear
CARD PAYMENT HP GAS,Bills,Need,bank_statement,clear
put money into Paytm Money for a monthly SIP,Misc,Investment,natural_language,clear
UPI/ANIGHTCLUB/PAYMENT/REF6675,Party,Want,upi,clear
went for Flipkart as a birthday gift for myself,Shopping,Want,natural_language,clear
indulged in LinkedIn Learning as a casual weekend hobby,Education,Want,natural_language,context_dependent
UPI-MUNICIPALWAT-MUNICIPALWAT@AXIS,Bills,Need,upi,clear
treated myself to Rapido to a concert across town,Travel,Want,natural_language,clear
"could have skipped FASTag, but chose to spend on it, to attend a friend's party",Travel,Want,semantic,clear
