item,category,default_label,subcategory,notes
rice,Food & Dining,need,rice,"rice is usually classified as need, but final label may change using amount/time/baseline context."
dal,Food & Dining,need,dal,"dal is usually classified as need, but final label may change using amount/time/baseline context."
milk,Food & Dining,need,milk,"milk is usually classified as need, but final label may change using amount/time/baseline context."
bread,Food & Dining,need,bread,"bread is usually classified as need, but final label may change using amount/time/baseline context."
vegetables,Food & Dining,need,vegetables,"vegetables is usually classified as need, but final label may change using amount/time/baseline context."
fruits,Food & Dining,need,fruits,"fruits is usually classified as need, but final label may change using amount/time/baseline context."
eggs,Food & Dining,need,eggs,"eggs is usually classified as need, but final label may change using amount/time/baseline context."
chicken,Food & Dining,need,chicken,"chicken is usually classified as need, but final label may change using amount/time/baseline context."
fish,Food & Dining,need,fish,"fish is usually classified as need, but final label may change using amount/time/baseline context."
atta,Food & Dining,need,atta,"atta is usually classified as need, but final label may change using amount/time/baseline context."
oil,Food & Dining,need,oil,"oil is usually classified as need, but final label may change using amount/time/baseline context."
salt,Food & Dining,need,salt,"salt is usually classified as need, but final label may change using amount/time/baseline context."
breakfast,Food & Dining,need,breakfast,"breakfast is usually classified as need, but final label may change using amount/time/baseline context."
pizza,Food & Dining,want,pizza,"pizza is usually classified as want, but final label may change using amount/time/baseline context."
burger,Food & Dining,want,burger,"burger is usually classified as want, but final label may change using amount/time/baseline context."
fries,Food & Dining,want,fries,"fries is usually classified as want, but final label may change using amount/time/baseline context."
coke,Food & Dining,want,coke,"coke is usually classified as want, but final label may change using amount/time/baseline context."
ice cream,Food & Dining,want,ice cream,"ice cream is usually classified as want, but final label may change using amount/time/baseline context."
cake,Food & Dining,want,cake,"cake is usually classified as want, but final label may change using amount/time/baseline context."
shawarma,Food & Dining,want,shawarma,"shawarma is usually classified as want, but final label may change using amount/time/baseline context."
biryani party,Food & Dining,want,biryani party,"biryani party is usually classified as want, but final label may change using amount/time/baseline context."
late night food,Food & Dining,want,late night food,"late night food is usually classified as want, but final label may change using amount/time/baseline context."
fancy dinner,Food & Dining,want,fancy dinner,"fancy dinner is usually classified as want, but final label may change using amount/time/baseline context."
book,Education,need,book,"book is usually classified as need, but final label may change using amount/time/baseline context."
pen,Education,need,pen,"pen is usually classified as need, but final label may change using amount/time/baseline context."
pencil,Education,need,pencil,"pencil is usually classified as need, but final label may change using amount/time/baseline context."
notebook,Education,need,notebook,"notebook is usually classified as need, but final label may change using amount/time/baseline context."
school fees,Education,need,school fees,"school fees is usually classified as need, but final label may change using amount/time/baseline context."
college fees,Education,need,college fees,"college fees is usually classified as need, but final label may change using amount/time/baseline context."
exam form,Education,need,exam form,"exam form is usually classified as need, but final label may change using amount/time/baseline context."
course subscription,Education,need,course subscription,"course subscription is usually classified as need, but final label may change using amount/time/baseline context."
certification course,Education,investment,certification course,"certification course is usually classified as investment, but final label may change using amount/time/baseline context."
skill course,Education,investment,skill course,"skill course is usually classified as investment, but final label may change using amount/time/baseline context."
coding bootcamp,Education,investment,coding bootcamp,"coding bootcamp is usually classified as investment, but final label may change using amount/time/baseline context."
professional workshop,Education,investment,professional workshop,"professional workshop is usually classified as investment, but final label may change using amount/time/baseline context."
medicine,Health,need,medicine,"medicine is usually classified as need, but final label may change using amount/time/baseline context."
doctor visit,Health,need,doctor visit,"doctor visit is usually classified as need, but final label may change using amount/time/baseline context."
hospital bill,Health,need,hospital bill,"hospital bill is usually classified as need, but final label may change using amount/time/baseline context."
blood test,Health,need,blood test,"blood test is usually classified as need, but final label may change using amount/time/baseline context."
therapy,Health,need,therapy,"therapy is usually classified as need, but final label may change using amount/time/baseline context."
pharmacy,Health,need,pharmacy,"pharmacy is usually classified as need, but final label may change using amount/time/baseline context."
surgery,Health,need,surgery,"surgery is usually classified as need, but final label may change using amount/time/baseline context."
health insurance,Health,need,health insurance,"health insurance is usually classified as need, but final label may change using amount/time/baseline context."
movie ticket,Entertainment,want,movie ticket,"movie ticket is usually classified as want, but final label may change using amount/time/baseline context."
netflix,Entertainment,want,netflix,"netflix is usually classified as want, but final label may change using amount/time/baseline context."
spotify,Entertainment,want,spotify,"spotify is usually classified as want, but final label may change using amount/time/baseline context."
gaming,Entertainment,want,gaming,"gaming is usually classified as want, but final label may change using amount/time/baseline context."
concert,Entertainment,want,concert,"concert is usually classified as want, but final label may change using amount/time/baseline context."
club entry,Entertainment,want,club entry,"club entry is usually classified as want, but final label may change using amount/time/baseline context."
bowling,Entertainment,want,bowling,"bowling is usually classified as want, but final label may change using amount/time/baseline context."
arcade,Entertainment,want,arcade,"arcade is usually classified as want, but final label may change using amount/time/baseline context."
party,Entertainment,want,party,"party is usually classified as want, but final label may change using amount/time/baseline context."
shirt,Shopping,want,shirt,"shirt is usually classified as want, but final label may change using amount/time/baseline context."
jeans,Shopping,want,jeans,"jeans is usually classified as want, but final label may change using amount/time/baseline context."
shoes,Shopping,want,shoes,"shoes is usually classified as want, but final label may change using amount/time/baseline context."
watch,Shopping,want,watch,"watch is usually classified as want, but final label may change using amount/time/baseline context."
perfume,Shopping,want,perfume,"perfume is usually classified as want, but final label may change using amount/time/baseline context."
makeup,Shopping,want,makeup,"makeup is usually classified as want, but final label may change using amount/time/baseline context."
online shopping,Shopping,want,online shopping,"online shopping is usually classified as want, but final label may change using amount/time/baseline context."
impulse purchase,Shopping,want,impulse purchase,"impulse purchase is usually classified as want, but final label may change using amount/time/baseline context."
bus pass,Transport,need,bus pass,"bus pass is usually classified as need, but final label may change using amount/time/baseline context."
train ticket,Transport,need,train ticket,"train ticket is usually classified as need, but final label may change using amount/time/baseline context."
fuel,Transport,need,fuel,"fuel is usually classified as need, but final label may change using amount/time/baseline context."
metro card,Transport,need,metro card,"metro card is usually classified as need, but final label may change using amount/time/baseline context."
office cab,Transport,need,office cab,"office cab is usually classified as need, but final label may change using amount/time/baseline context."
auto to work,Transport,need,auto to work,"auto to work is usually classified as need, but final label may change using amount/time/baseline context."
weekend cab,Transport,want,weekend cab,"weekend cab is usually classified as want, but final label may change using amount/time/baseline context."
late night cab,Transport,want,late night cab,"late night cab is usually classified as want, but final label may change using amount/time/baseline context."
road trip fuel,Transport,want,road trip fuel,"road trip fuel is usually classified as want, but final label may change using amount/time/baseline context."
SIP,Investment,investment,SIP,"SIP is usually classified as investment, but final label may change using amount/time/baseline context."
mutual fund,Investment,investment,mutual fund,"mutual fund is usually classified as investment, but final label may change using amount/time/baseline context."
gold,Investment,investment,gold,"gold is usually classified as investment, but final label may change using amount/time/baseline context."
silver,Investment,investment,silver,"silver is usually classified as investment, but final label may change using amount/time/baseline context."
stocks,Investment,investment,stocks,"stocks is usually classified as investment, but final label may change using amount/time/baseline context."
FD,Investment,investment,FD,"FD is usually classified as investment, but final label may change using amount/time/baseline context."
RD,Investment,investment,RD,"RD is usually classified as investment, but final label may change using amount/time/baseline context."
NPS,Investment,investment,NPS,"NPS is usually classified as investment, but final label may change using amount/time/baseline context."
PPF,Investment,investment,PPF,"PPF is usually classified as investment, but final label may change using amount/time/baseline context."
