text,category,type,input_style,ambiguity
UPI-UPSTOX-782577@upi,Misc,Investment,upi,clear
gym,Health,Want,short_keyword,ambiguous
UPI-RELIANCEFRES-866213@upi,Groceries,Need,upi,clear
POS INOX ONLINE,Entertainment,Want,bank_statement,clear
booked Meru Cabs to rush to the hospital,Travel,Need,natural_language,context_dependent
POS AMAZON RETAIL PURCHASE,Shopping,Want,bank_statement,clear
"paid for Unacademy purely out of necessity, required for the current semester",Education,Need,semantic,context_dependent
BigBasket for hosting a dinner party,Groceries,Want,merchant,context_dependent
recurring deposit for savings,Misc,Investment,natural_language,clear
booked a bus ticket to attend a mandatory office training,Travel,Need,semantic,context_dependent
"could have skipped Vijay Sales, but chose to spend on it, as a small treat for myself",Shopping,Want,semantic,clear
Nature's Basket for a festive celebration at home,Groceries,Want,merchant,clear
UPI/AMAZON/PAYMENT/REF5520,Shopping,Want,upi,clear
POS BOOKMYSHOW TICKETS,Entertainment,Want,bank_statement,clear
POS KFC PAYMENT,Food,Want,bank_statement,clear
POS COIN BY ZERODHA ONLINE,Misc,Investment,bank_statement,clear
treated myself to sushi after a stressful week,Food,Want,natural_language,context_dependent
UPI/UDEMY/PAYMENT/REF3139,Education,Investment,upi,clear
Chai tapri near office,Food,Need,merchant,clear
POS MAX HEALTHCARE ONLINE,Health,Need,bank_statement,clear
KFC TXN POS PURCHASE,Food,Need,bank_statement,clear
paid hospital bill for an emergency surgery,Health,Need,semantic,context_dependent
"spent on BEST bus more for enjoyment than necessity, to visit relatives during the holidays",Travel,Want,semantic,context_dependent
"could have skipped Box8, but chose to spend on it, for a weekend treat",Food,Want,semantic,context_dependent
invested through Coursera to boost my career prospects,Education,Investment,natural_language,context_dependent
UPI-SHOPPINGORDER-REF1920,Shopping,Want,upi,clear
used Housing Society for monthly maintenance charges,Bills,Need,natural_language,clear
invested through Zerodha for a stock market trade,Misc,Investment,natural_language,clear
POS MUMBAI METRO PAYMENT,Travel,Need,bank_statement,clear
CARD PAYMENT TATA CLIQ,Shopping,Want,bank_statement,clear
treated myself to MedPlus to try a trending supplement,Health,Need,natural_language,clear
POS ZEPTO ONLINE,Groceries,Need,bank_statement,clear
UPI/MAXHEALTHCAR/PAYMENT/REF3390,Health,Need,upi,clear
Starbucks coffee with a client,Food,Want,merchant,clear
"spent on LinkedIn Learning more for enjoyment than necessity, as a casual weekend hobby",Education,Want,semantic,context_dependent
"could have skipped Amazon Prime Video, but chose to spend on it, to unwind after a long week",Entertainment,Want,semantic,context_dependent
"paid for Delhi Metro purely out of necessity, to rush to the hospital",Travel,Need,semantic,context_dependent
UPI-CULT.FIT-963305@upi,Health,Need,upi,clear
CARD PAYMENT HP GAS,Bills,Need,bank_statement,clear
went for Flipkart as a birthday gift for myself,Shopping,Want,natural_language,clear
indulged in LinkedIn Learning as a casual weekend hobby,Education,Want,natural_language,context_dependent
had no choice but to pay for BluSmart since it was to get to a work meeting,Travel,Need,semantic,context_dependent
POS NATURE'S BASKET PAYMENT,Groceries,Need,bank_statement,clear
UPI/SPENCERS/PAYMENT/REF7825,Groceries,Need,upi,clear
set aside savings via Upstox for a gold bond purchase,Misc,Investment,natural_language,clear
POS VISTARA ONLINE,Travel,Want,bank_statement,clear
Subway for a movie night at home,Food,Want,merchant,clear
had no choice but to pay for Mumbai Metro since it was to reach college on time,Travel,Need,semantic,context_dependent
UPI/FRIEND/SPLITBILL/REF9911,Misc,Need,upi,clear
Star Bazaar for an elaborate weekend cooking project,Groceries,Want,merchant,context_dependent
"booked INOX for binge watching over the weekend, just for fun",Entertainment,Want,natural_language,context_dependent
UPI-MEDPLUS-796494@upi,Health,Need,upi,clear
Fortis Hospital for an emergency hospital visit,Health,Need,merchant,clear
Nykaa because everyone else already had it,Shopping,Want,merchant,context_dependent
UPI-TATASKY-810036@upi,Bills,Need,upi,clear
Star Bazaar to try some gourmet imported items,Groceries,Want,merchant,clear
paid school fees for the new academic year,Education,Investment,natural_language,clear
BOX8 TXN POS PURCHASE,Food,Want,bank_statement,clear
UPI/UNACADEMY/PAYMENT/REF3545,Education,Investment,upi,clear
IRCTC train ticket booked for a family wedding trip,Travel,Want,merchant,clear
bought new spectacles as the old prescription was outdated,Shopping,Need,semantic,context_dependent
Cult.fit premium gym membership,Health,Want,merchant,clear
UPI/GOIBIBO/PAYMENT/REF6442,Travel,Need,upi,clear
took a cab home instead of waiting for the last bus,Travel,Want,natural_language,clear
Zerodha for a recurring deposit,Misc,Investment,merchant,clear
used More Supermarket for basic household supplies,Groceries,Need,natural_language,clear
IRCTC TXN POS PURCHASE,Travel,Want,bank_statement,clear
