original_text,original_category,original_type,original_ambiguity,action,new_category,new_type,new_ambiguity,reason
UPI-UPSTOX-782577@upi,Misc,Investment,context_dependent,ambiguity_corrected,Misc,Investment,clear,ambiguity_to_clear
UPI-RELIANCEFRES-866213@upi,Groceries,Need,context_dependent,ambiguity_corrected,Groceries,Need,clear,ambiguity_to_clear
FAASOS TXN POS PURCHASE,Food,Want,context_dependent,ambiguity_corrected,Food,Want,clear,ambiguity_to_clear
POS INOX ONLINE,Entertainment,Want,context_dependent,ambiguity_corrected,Entertainment,Want,clear,ambiguity_to_clear
enrolled in a coding bootcamp to switch careers,Education,Investment,clear,ambiguity_corrected,Education,Investment,context_dependent,ambiguity_to_context_dependent
UPI-HALDIRAMS-858434@upi,Food,Need,context_dependent,ambiguity_corrected,Food,Need,clear,ambiguity_to_clear
BYJU'S for a professional certification,Education,Investment,context_dependent,ambiguity_corrected,Education,Investment,clear,ambiguity_to_clear
UPI/ETMONEY/PAYMENT/REF6633,Misc,Investment,context_dependent,ambiguity_corrected,Misc,Investment,clear,ambiguity_to_clear
POS AMAZON RETAIL PURCHASE,Shopping,Want,ambiguous,ambiguity_corrected,Shopping,Want,clear,ambiguity_to_clear
Paytm Money for a recurring deposit,Misc,Investment,context_dependent,ambiguity_corrected,Misc,Investment,clear,ambiguity_to_clear
APOLLO PHARMACY TXN POS PURCHASE,Health,Want,context_dependent,relabelled_and_ambiguity_corrected,Health,Need,clear,relabelled_type_to_need; ambiguity_to_clear
CARD PAYMENT KUVERA,Misc,Investment,context_dependent,ambiguity_corrected,Misc,Investment,clear,ambiguity_to_clear
UPI/SNAPDEAL/PAYMENT/REF6766,Shopping,Want,context_dependent,ambiguity_corrected,Shopping,Want,clear,ambiguity_to_clear
"could have skipped Vijay Sales, but chose to spend on it, as a small treat for myself",Shopping,Want,context_dependent,ambiguity_corrected,Shopping,Want,clear,ambiguity_to_clear
Nature's Basket for a festive celebration at home,Groceries,Want,context_dependent,ambiguity_corrected,Groceries,Want,clear,ambiguity_to_clear
UPI/AMAZON/PAYMENT/REF5520,Shopping,Need,ambiguous,relabelled_and_ambiguity_corrected,Shopping,Want,clear,relabelled_type_to_want; ambiguity_to_clear
set aside savings via Unacademy to boost my career prospects,Education,Investment,context_dependent,removed_unrealistic,,,,Nonsensical template combination or malformed verb-object pairing
POS KFC PAYMENT,Food,Want,context_dependent,ambiguity_corrected,Food,Want,clear,ambiguity_to_clear
POS COIN BY ZERODHA ONLINE,Misc,Investment,context_dependent,ambiguity_corrected,Misc,Investment,clear,ambiguity_to_clear
treated myself to sushi after a stressful week,Food,Want,clear,ambiguity_corrected,Food,Want,context_dependent,ambiguity_to_context_dependent
Fortis Hospital out of general curiosity,Health,Want,context_dependent,removed_unrealistic,,,,Nonsensical template combination or malformed verb-object pairing
UPI/UDEMY/PAYMENT/REF3139,Education,Investment,context_dependent,ambiguity_corrected,Education,Investment,clear,ambiguity_to_clear
POS MAX HEALTHCARE ONLINE,Health,Want,context_dependent,relabelled_and_ambiguity_corrected,Health,Need,clear,relabelled_type_to_need; ambiguity_to_clear
KFC TXN POS PURCHASE,Food,Need,context_dependent,ambiguity_corrected,Food,Need,clear,ambiguity_to_clear
paid hospital bill for an emergency surgery,Health,Need,clear,ambiguity_corrected,Health,Need,context_dependent,ambiguity_to_context_dependent
UPI-SHOPPINGORDER-REF1920,Shopping,Want,ambiguous,ambiguity_corrected,Shopping,Want,clear,ambiguity_to_clear
invested through Zerodha for a stock market trade,Misc,Investment,context_dependent,ambiguity_corrected,Misc,Investment,clear,ambiguity_to_clear
POS MUMBAI METRO PAYMENT,Travel,Need,context_dependent,ambiguity_corrected,Travel,Need,clear,ambiguity_to_clear
CARD PAYMENT TATA CLIQ,Shopping,Need,ambiguous,relabelled_and_ambiguity_corrected,Shopping,Want,clear,relabelled_type_to_want; ambiguity_to_clear
treated myself to MedPlus to try a trending supplement,Health,Want,context_dependent,relabelled_and_ambiguity_corrected,Health,Need,clear,relabelled_type_to_need; ambiguity_to_clear
POS ZEPTO ONLINE,Groceries,Want,context_dependent,relabelled_and_ambiguity_corrected,Groceries,Need,clear,relabelled_type_to_need; ambiguity_to_clear
UPI/MAXHEALTHCAR/PAYMENT/REF3390,Health,Want,ambiguous,relabelled_and_ambiguity_corrected,Health,Need,clear,relabelled_type_to_need; ambiguity_to_clear
Starbucks coffee with a client,Food,Want,context_dependent,ambiguity_corrected,Food,Want,clear,ambiguity_to_clear
UPI-BYJUS-BYJUS@ICICI,Education,Investment,context_dependent,ambiguity_corrected,Education,Investment,clear,ambiguity_to_clear
UPI-CULT.FIT-963305@upi,Health,Need,context_dependent,ambiguity_corrected,Health,Need,clear,ambiguity_to_clear
