text,category,type,input_style,ambiguity,group_id,split
UPI-UPSTOX-782577@upi,Misc,Investment,upi,clear,misc_upstox,train
gym,Health,Want,short_keyword,ambiguous,health_cult_fit,train
UPI-RELIANCEFRES-866213@upi,Groceries,Need,upi,clear,scenario_groceries_residual,train
FAASOS TXN POS PURCHASE,Food,Want,bank_statement,clear,food_faasos,test
POS RETAIL PURCHASE,Shopping,Want,bank_statement,ambiguous,shopping_general_retail,validation
paid for Great Learning as a casual weekend hobby on a whim,Education,Want,natural_language,context_dependent,education_great_learning,validation
POS INOX ONLINE,Entertainment,Want,bank_statement,clear,entertainment_inox,train
paid for an online multiplayer game subscription,Entertainment,Want,natural_language,clear,entertainment_multiplayer,test
enrolled in a coding bootcamp to switch careers,Education,Investment,semantic,context_dependent,education_bootcamp,validation
UPI-HALDIRAMS-858434@upi,Food,Need,upi,clear,food_haldiram,validation
BYJU'S for a professional certification,Education,Investment,merchant,clear,education_byju,test
booked Meru Cabs to rush to the hospital,Travel,Need,natural_language,context_dependent,travel_meru,train
UPI/ETMONEY/PAYMENT/REF6633,Misc,Investment,upi,clear,misc_etmoney,validation
POS AMAZON RETAIL PURCHASE,Shopping,Want,bank_statement,clear,shopping_amazon,train
had no choice but to pay for Snapdeal since it was required urgently for daily use,Shopping,Need,semantic,context_dependent,shopping_snapdeal,validation
Faasos when there was nothing left in the fridge,Food,Need,merchant,context_dependent,food_faasos,test
Paytm Money for a recurring deposit,Misc,Investment,merchant,clear,misc_paytm_money,validation
"paid for Unacademy purely out of necessity, required for the current semester",Education,Need,semantic,context_dependent,bills_rent,train
BigBasket for hosting a dinner party,Groceries,Want,merchant,context_dependent,food_general_dining,train
APOLLO PHARMACY TXN POS PURCHASE,Health,Need,bank_statement,clear,health_apollo,validation
recurring deposit for savings,Misc,Investment,natural_language,clear,bills_vodafone,train
CARD PAYMENT KUVERA,Misc,Investment,bank_statement,clear,misc_kuvera,test
UPI/SNAPDEAL/PAYMENT/REF6766,Shopping,Want,upi,clear,shopping_snapdeal,validation
booked a bus ticket to attend a mandatory office training,Travel,Need,semantic,context_dependent,travel_bus_general,train
"could have skipped Vijay Sales, but chose to spend on it, as a small treat for myself",Shopping,Want,semantic,clear,bills_vodafone,train
POS BARBEQUE NATION PUNE,Food,Want,bank_statement,clear,food_barbeque_nation,validation
Nature's Basket for a festive celebration at home,Groceries,Want,merchant,clear,groceries_natures_basket,train
UPI/AMAZON/PAYMENT/REF5520,Shopping,Want,upi,clear,shopping_amazon,train
booked a cab late at night purely for convenience,Travel,Want,semantic,context_dependent,travel_cab_general,validation
POS BOOKMYSHOW TICKETS,Entertainment,Want,bank_statement,clear,entertainment_bookmyshow,train
POS KFC PAYMENT,Food,Want,bank_statement,clear,food_kfc,train
POS COIN BY ZERODHA ONLINE,Misc,Investment,bank_statement,clear,misc_zerodha,train
treated myself to sushi after a stressful week,Food,Want,natural_language,context_dependent,food_sushi,train
UPI/UDEMY/PAYMENT/REF3139,Education,Investment,upi,clear,education_udemy,train
Chai tapri near office,Food,Need,merchant,clear,food_chai_tapri,train
POS MAX HEALTHCARE ONLINE,Health,Need,bank_statement,clear,health_max_healthcare,train
KFC TXN POS PURCHASE,Food,Need,bank_statement,clear,food_kfc,train
paid hospital bill for an emergency surgery,Health,Need,semantic,context_dependent,health_hospital_surgery,train
"spent on BEST bus more for enjoyment than necessity, to visit relatives during the holidays",Travel,Want,semantic,context_dependent,travel_best_bus,train
"could have skipped Box8, but chose to spend on it, for a weekend treat",Food,Want,semantic,context_dependent,food_box8,train
invested through Coursera to boost my career prospects,Education,Investment,natural_language,context_dependent,education_coursera,train
"spent on JioCinema more for enjoyment than necessity, for a birthday movie marathon",Entertainment,Want,semantic,context_dependent,bills_jio,validation
UPI-SHOPPINGORDER-REF1920,Shopping,Want,upi,clear,scenario_shopping_residual,train
used Housing Society for monthly maintenance charges,Bills,Need,natural_language,clear,bills_housing_society,train
invested through Zerodha for a stock market trade,Misc,Investment,natural_language,clear,misc_zerodha,train
POS MUMBAI METRO PAYMENT,Travel,Need,bank_statement,clear,travel_mumbai_metro,train
CARD PAYMENT TATA CLIQ,Shopping,Want,bank_statement,clear,shopping_tata_cliq,train
treated myself to MedPlus to try a trending supplement,Health,Need,natural_language,clear,health_medplus,train
POS ZEPTO ONLINE,Groceries,Need,bank_statement,clear,groceries_zepto,train
"the expense on FASTag was unavoidable, to rush to the hospital",Travel,Need,semantic,context_dependent,travel_fastag,validation
UPI/MAXHEALTHCAR/PAYMENT/REF3390,Health,Need,upi,clear,health_max_healthcare,train
Starbucks coffee with a client,Food,Want,merchant,clear,scenario_food_residual,train
"spent on LinkedIn Learning more for enjoyment than necessity, as a casual weekend hobby",Education,Want,semantic,context_dependent,education_linkedin_learning,train
"could have skipped Amazon Prime Video, but chose to spend on it, to unwind after a long week",Entertainment,Want,semantic,context_dependent,bills_vodafone,train
"paid for Delhi Metro purely out of necessity, to rush to the hospital",Travel,Need,semantic,context_dependent,travel_delhi_metro,train
UPI-BYJUS-BYJUS@ICICI,Education,Investment,upi,clear,education_byju,test
UPI-CULT.FIT-963305@upi,Health,Need,upi,clear,health_cult_fit,train
CARD PAYMENT HP GAS,Bills,Need,bank_statement,clear,bills_hp_gas,train
put money into Paytm Money for a monthly SIP,Misc,Investment,natural_language,clear,misc_paytm_money,validation
UPI/ANIGHTCLUB/PAYMENT/REF6675,Party,Want,upi,clear,party_nightclub,test
went for Flipkart as a birthday gift for myself,Shopping,Want,natural_language,clear,shopping_flipkart,train
indulged in LinkedIn Learning as a casual weekend hobby,Education,Want,natural_language,context_dependent,education_linkedin_learning,train
UPI-MUNICIPALWAT-MUNICIPALWAT@AXIS,Bills,Need,upi,clear,bills_municipal_water,validation
treated myself to Rapido to a concert across town,Travel,Want,natural_language,clear,travel_rapido,test
"could have skipped FASTag, but chose to spend on it, to attend a friend's party",Travel,Want,semantic,clear,travel_fastag,validation
had no choice but to pay for BluSmart since it was to get to a work meeting,Travel,Need,semantic,context_dependent,travel_blusmart,train
"booked a rooftop bar for a New Year's party, just for fun",Party,Want,natural_language,context_dependent,party_rooftop_bar,validation
POS NATURE'S BASKET PAYMENT,Groceries,Need,bank_statement,clear,groceries_natures_basket,train
UPI/SPENCERS/PAYMENT/REF7825,Groceries,Need,upi,clear,groceries_spencer,train
UPI/BSES/PAYMENT/REF2406,Bills,Need,upi,clear,bills_bses,test
set aside savings via Upstox for a gold bond purchase,Misc,Investment,natural_language,clear,bills_vodafone,train
had no choice but to pay for Croma since it was for a work-from-home setup,Shopping,Need,semantic,context_dependent,shopping_croma,test
POS VISTARA ONLINE,Travel,Want,bank_statement,clear,bills_vodafone,train
Great Learning required to pass the course,Education,Investment,merchant,clear,education_great_learning,validation
Subway for a movie night at home,Food,Want,merchant,clear,food_subway,train
had no choice but to pay for Mumbai Metro since it was to reach college on time,Travel,Need,semantic,context_dependent,travel_mumbai_metro,train
UPI/FRIEND/SPLITBILL/REF9911,Misc,Need,upi,clear,misc_friend_split,train
